,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT
0,0.695,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2522994908358709,-0.48068386176951866,-0.6345021132387911,0.5083798882681564,0.48432838839506925,0.30025664739884395,0.045682609358733785,0.04268020542767017,0.03153180257669165,0.0583431,0.0608757,0.0323792,0.241543,0.24673,0.179942,0.175307,0.247789,0.247391,0.246728,0.245801,0.24461,0.243158,0.241445,0.239474,0.237246,0.234764,0.232031,0.22905,0.296315,0.418828,0.418155,0.417034,0.415467,0.413455,0.411,0.408105,0.404773,0.401008,0.396813,0.392193,0.387154,0.294624,0.416438,0.415769,0.414655,0.413097,0.411096,0.408655,0.405777,0.402464,0.39872,0.394549,0.389956,0.384945,0.921142,0.973638,0.982386,-0.917233,0.581435,-0.489538,0.4111905920801029
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7459237986779887,0.04646428397841971,-0.29143729120334266,0.22103463687150837,0.21213936838273215,0.2450364161849711,0.0004958245751304613,0.00037704059021350923,0.0015735353833659421,0.000663856,0.00051031,0.00163931,0.0257654,0.0225901,0.0404884,0.33117,0.468094,0.467342,0.46609,0.464338,0.46209,0.459346,0.45611,0.452387,0.448178,0.44349,0.438327,0.432694,-0.0648832,-0.0917096,-0.0915623,-0.0913169,-0.0909737,-0.0905332,-0.0899956,-0.0893617,-0.0886321,-0.0878076,-0.0868891,-0.0858776,-0.084774,0.172792,0.244234,0.243841,0.243188,0.242274,0.2411,0.239669,0.237981,0.236038,0.233842,0.231396,0.228702,0.225763,-0.999922,0.999968,-0.999874,-0.0908792,-0.231996,0.184559,0.415017557278448
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6228546200249218,-0.38913776064027994,0.3582397057832462,0.23178435754189947,0.22106048195451466,0.27890173410404623,0.003158025608211603,0.003221916629734873,0.004115618885894644,0.00445113,0.00473804,0.00403259,0.0667168,0.0688334,0.0635027,0.305943,0.432436,0.431742,0.430585,0.428967,0.426889,0.424355,0.421366,0.417925,0.414038,0.409706,0.404937,0.399733,0.240602,0.340081,0.339535,0.338625,0.337352,0.335719,0.333725,0.331375,0.328669,0.325612,0.322206,0.318454,0.314362,0.204497,0.289048,0.288584,0.28781,0.286729,0.28534,0.283646,0.281648,0.279348,0.27675,0.273855,0.270667,0.267189,0.999846,-0.999756,-0.999797,-0.191703,0.719518,-0.0542568,0.42112088446963114
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11253930136409773,0.13730538049025484,0.8573270176857387,0.20070335195530725,0.18507518530878056,0.19134913294797687,0.0016024825775308167,0.001497171459109987,0.0019759773339731996,0.00211312,0.00210246,0.00192962,0.0459687,0.0458525,0.0439274,0.0614084,0.0867981,0.0866587,0.0864265,0.0861017,0.0856847,0.0851759,0.084576,0.0838855,0.0831051,0.0822358,0.0812784,0.080234,0.0924554,0.130682,0.130472,0.130122,0.129633,0.129005,0.128239,0.127336,0.126296,0.125122,0.123813,0.122371,0.120799,0.329079,0.465139,0.464391,0.463147,0.461406,0.459172,0.456445,0.45323,0.44953,0.445348,0.44069,0.435559,0.429962,0.999573,0.999755,0.999842,-0.086762,-0.0113694,0.0120651,0.3983829051211626
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6575107898233192,-0.0601586118626768,0.5145519837487604,0.2371195530726257,0.2710670549808371,0.2145398843930636,0.002872840840522243,0.004711736489480956,0.004755749566244601,0.00395874,0.00643966,0.00459963,0.0629185,0.0802475,0.0678206,0.312961,0.442357,0.441646,0.440463,0.438808,0.436683,0.43409,0.431032,0.427513,0.423536,0.419106,0.414226,0.408904,-0.0130422,-0.0184345,-0.0184049,-0.0183556,-0.0182866,-0.018198,-0.01809,-0.0179626,-0.0178159,-0.0176502,-0.0174656,-0.0172622,-0.0170404,0.255986,0.361825,0.361243,0.360275,0.358921,0.357183,0.355063,0.352562,0.349683,0.34643,0.342806,0.338815,0.334462,0.992846,-0.999835,-0.991856,0.357692,0.769059,0.428842,0.4182295831450127
5,0.0,0.0,0.01,0.98,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32041195256603866,-0.7391215592242762,-0.04785941907595144,0.32334525139664805,0.25827493452254546,0.2263971098265896,0.03074543634085047,0.018501264370812585,0.02489229945734431,0.0402278,0.026147,0.0260007,0.200569,0.1617,0.161247,0.254405,0.35959,0.359012,0.35805,0.356705,0.354977,0.352869,0.350384,0.347523,0.34429,0.340689,0.336723,0.332396,0.336332,0.47539,0.474627,0.473355,0.471576,0.469292,0.466506,0.46322,0.459438,0.455164,0.450403,0.445159,0.439439,0.10315,0.145798,0.145564,0.145174,0.144628,0.143928,0.143073,0.142065,0.140906,0.139595,0.138134,0.136526,0.134772,-0.984102,-0.837142,0.791309,0.770306,-0.483364,-0.498131,0.4326669679796961
6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8188365971001575,0.09524974482769795,-0.06042948329145365,0.19154022346368715,0.19155113308861452,0.24105260115606938,0.00042009999270610233,0.000466964727964754,0.002266242755361955,0.000561814,0.000634837,0.00228426,0.0237026,0.025196,0.0477939,0.344589,0.487062,0.48628,0.484976,0.483154,0.480814,0.477959,0.474593,0.470718,0.466339,0.461461,0.456088,0.450228,0.0377204,0.0533162,0.0532306,0.0530879,0.0528884,0.0526323,0.0523198,0.0519512,0.0515271,0.0510478,0.0505138,0.0499257,0.0492841,-0.0487262,-0.0688724,-0.0687617,-0.0685774,-0.0683197,-0.0679889,-0.0675852,-0.0671091,-0.0665612,-0.065942,-0.0652522,-0.0644926,-0.0636638,0.999971,-0.998668,-0.998525,0.0502844,0.237687,0.31686,0.43509891179640503
7,0.03,0.415,0.47,0.08,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.73,0.225,0.015,0.0,0.005,0.005,0.39,0.55,0.05,0.0,0.0,0.005,0.0,0.0,0.0,0.02348979608678071,0.7827479221683976,0.02696560090113508,0.31488044692737427,0.17425750083426875,0.21087572254335257,0.0851569182619305,0.04407805208686358,0.09665731477721584,0.114349,0.0802843,0.109556,0.338155,0.283345,0.330992,0.325684,0.46034,0.4596,0.458368,0.456646,0.454434,0.451736,0.448554,0.444892,0.440753,0.436143,0.431065,0.425526,0.384182,0.543025,0.542152,0.540699,0.538667,0.536059,0.532876,0.529122,0.524802,0.519921,0.514482,0.508492,0.501958,0.330032,0.466486,0.465737,0.464489,0.462743,0.460502,0.457768,0.454544,0.450833,0.446639,0.441967,0.436821,0.431208,0.189911,0.123904,0.157235,0.154366,0.0960279,-0.169321,0.4314657719987484
8,0.145,0.165,0.095,0.095,0.11,0.2,0.045,0.06,0.04,0.045,0.555,0.08,0.075,0.1,0.15,0.035,0.005,0.0,0.0,0.0,0.15,0.095,0.18,0.21,0.135,0.095,0.055,0.06,0.005,0.015,0.401218858052963,-0.31471169580221314,0.3282769642530495,0.5674804469273743,0.47022419075933625,0.44556820809248554,0.3728441559302703,0.4502874162517271,0.42119587286352395,0.463014,0.56723,0.430184,0.680451,0.753147,0.655884,0.471156,0.665958,0.664889,0.663107,0.660615,0.657415,0.653512,0.648909,0.643611,0.637624,0.630954,0.623608,0.615595,0.487854,0.689561,0.688453,0.686608,0.684028,0.680715,0.676673,0.671907,0.666421,0.660222,0.653316,0.64571,0.637412,0.493848,0.698032,0.696911,0.695043,0.692431,0.689078,0.684986,0.680161,0.674608,0.668333,0.661342,0.653642,0.645243,-0.856314,0.426721,-0.356063,-0.825455,0.193119,-0.182085,0.5348277300698814
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.039077975556820896,-0.19202485297214977,0.8518008260404932,0.1757072625698324,0.18507518530878056,0.22885433526011562,0.0026297617547791606,0.0024787663911989364,0.006573304662409097,0.00377896,0.00347713,0.00632637,0.0614732,0.0589672,0.0795385,-0.0499426,-0.0705917,-0.0704783,-0.0702894,-0.0700253,-0.0696862,-0.0692724,-0.0687845,-0.0682229,-0.0675882,-0.0668812,-0.0661026,-0.0652532,0.140767,0.198968,0.198648,0.198116,0.197371,0.196415,0.195249,0.193874,0.192291,0.190502,0.188509,0.186315,0.183921,0.329295,0.465444,0.464697,0.463451,0.46171,0.459474,0.456746,0.453528,0.449826,0.445641,0.44098,0.435846,0.430245,-0.994359,0.993764,-0.999849,-0.378542,0.108089,-0.550129,0.3986062823766645
